Quarterly Report,06/30/2025,03/31/2025,12/31/2024,09/30/2024,06/30/2024,03/31/2024,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
Total Current Assets,191.131,156.644,147.08,149.926,159.734,147.18,147.393,207.586,184.257,163.889,157.823,160.812,169.684,153.922,174.188,174.326,184.406,165.614,173.973,177.077,181.915,170.505,167.074,165.896,175.552,159.887,156.874,164.195,169.662,156.659,167.633,161.031,162.696,146.313,144.949,157.909,139.66,128.421,127.812,121.656,122.797,118.398,116.362,112.439,114.246,109.006,106.87,99.45,101.466,93.524,89.574,84.051,85.084,76.86,72.513,75.271,74.918,66.263,59.684,59.581,55.676,54.518,52.487,52.231,49.28,40.724,37.73,37.202,43.242,41.489,37.775,35.853,40.168,42.783,45.18,45.358,49.01,46.628,46.694,49.831
   Cash and Short Ter Investents,94.565,79.618,71.555,78.428,75.543,80.021,81.017,143.951,111.262,104.427,99.508,107.262,104.757,104.693,125.369,130.615,130.334,125.407,131.968,137.977,136.527,137.61,134.231,136.609,133.819,131.536,127.651,135.771,133.65,132.234,142.751,138.367,132.881,125.976,122.433,136.881,113.167,105.479,102.454,99.145,96.282,95.156,89.765,88.71,85.465,88.16,83.697,80.403,76.775,74.483,68.312,66.644,63.04,59.529,51.736,57.403,52.772,50.15,41.252,44.173,36.788,39.666,36.099,36.728,31.447,25.34,20.715,20.722,23.662,26.341,21.076,21.574,23.411,28.236,28.873,31.832,34.161,34.816,34.701,40.056
      Cash and Equivalents,30.242,28.828,17.482,20.84,18.315,19.634,17.305,80.452,34.704,26.562,15.646,22.884,13.931,12.498,20.604,19.165,14.224,13.702,14.432,17.205,13.576,11.71,8.864,13.117,11.356,11.212,6.638,15.137,11.946,9.221,12.859,6.884,7.663,6.713,8.468,13.928,6.51,7.17,7.185,5.431,5.595,7.414,6.426,6.302,8.669,11.572,10.059,4.023,3.804,5.24,6.017,5.036,6.938,6.388,10.61,12.881,9.61,7.021,4.023,8.161,5.505,8.155,9.422,8.823,6.076,7.285,8.346,9.004,10.339,11.82,7.46,6.637,6.111,7.611,6.859,9.076,6.714,4.351,4.083,2.974
      Short Ter Investents,64.323,50.79,54.073,57.588,57.228,60.387,63.712,63.499,76.558,77.865,83.862,84.378,90.826,92.195,104.765,111.45,116.11,111.705,117.536,120.772,122.951,125.9,125.367,123.492,122.463,120.324,121.013,120.634,121.704,123.013,129.892,131.483,125.218,119.263,113.965,122.953,106.657,98.309,95.269,93.714,90.687,87.742,83.339,82.408,76.796,76.588,73.638,76.38,72.971,69.243,62.295,61.608,56.102,53.141,41.126,44.522,43.162,43.129,37.229,36.012,31.283,31.511,26.677,27.905,25.371,18.055,12.369,11.718,13.323,14.521,13.616,14.937,17.3,20.625,22.014,22.756,27.447,30.465,30.618,37.082
   Total Receivales,78.105,62.5,59.588,55.548,67.424,54.129,51.631,47.153,48.688,37.42,35.833,31.279,44.261,32.613,33.52,27.349,38.043,26.322,27.312,22.851,32.011,22.699,23.525,19.087,29.524,19.269,19.68,17.39,26.481,17.208,18.428,14.561,22.431,12.882,14.343,11.129,18.277,12.247,14.507,11.444,17.908,12.427,16.186,12.887,19.544,13.497,15.986,11.007,17.486,11.991,14.317,9.871,15.78,10.961,13.643,10.153,14.987,10.033,12.874,9.646,13.014,9.137,11.196,8.587,11.192,9.182,10.953,9.535,13.589,9.871,11.621,8.982,11.338,8.454,9.895,6.879,9.316,6.818,7.758,5.799
      Accounts Receivale,69.905,51.7,48.188,44.148,56.924,44.029,42.831,36.953,48.688,37.42,35.833,31.279,44.261,32.613,33.52,27.349,38.043,26.322,27.312,22.851,32.011,22.699,23.525,19.087,29.524,19.269,19.68,17.39,26.481,17.208,18.428,14.561,22.431,12.882,14.343,11.129,18.277,12.247,14.507,11.444,17.908,12.427,16.186,12.887,19.544,13.497,15.986,11.007,17.486,11.991,14.317,9.871,15.78,10.961,13.643,10.153,14.987,10.033,12.874,9.646,13.014,9.137,11.196,8.587,11.192,9.182,10.953,9.535,13.589,9.871,11.621,8.982,11.338,8.454,9.895,6.879,9.316,6.818,7.758,5.799
   Inventory,938,848,909,1.626,1.246,1.304,1.615,3,2.5,2.877,2.98,4.268,3.742,3.296,3.019,3.411,2.636,2.245,1.924,2.705,1.895,1.644,1.823,2.622,2.063,1.951,1.961,3.614,2.662,2.084,2.003,3.211,2.181,1.979,1.961,3.122,2.251,2.45,2.702,3.816,2.902,2.469,2.053,3.141,2.66,1.92,1.594,2.613,1.938,2.133,1.661,1.624,1.137,1.412,1.351,2.27,1.372,1.056,861,1.242,740,501,589,1.15,717,657,968,1.64,985,774,755,1.178,1.127,1.75,1.725,2.521,1.478,1.113,1.003,726
   Other Current Assets,17.523,13.678,15.028,14.324,15.521,11.726,13.13,13.482,21.807,19.165,19.502,18.003,16.924,13.32,12.28,12.951,13.393,11.64,12.769,13.544,11.482,8.552,7.495,7.578,10.146,7.131,7.582,7.42,6.869,5.133,4.451,4.892,5.203,5.476,6.212,6.777,5.965,8.245,8.149,7.251,5.705,8.346,8.358,7.701,6.577,5.429,5.593,5.427,5.267,4.917,5.284,5.912,5.127,4.958,5.783,5.445,5.787,5.024,4.697,4.52,5.134,5.214,4.603,5.766,5.924,5.545,5.094,5.305,5.006,4.503,4.323,4.119,4.292,4.343,4.687,4.126,4.055,3.881,3.232,3.25
Total Assets,619.003,562.624,533.898,523.013,512.163,484.275,470.558,445.785,411.976,380.088,364.552,359.784,364.84,344.607,340.389,335.418,333.779,308.879,304.137,301.001,301.311,285.449,282.794,278.955,286.556,263.281,258.859,257.619,258.848,245.497,256.003,249.097,250.312,225.017,224.61,212.524,193.468,181.869,180.098,172.896,174.472,176.683,174.848,169.656,172.384,156.119,153.543,142.348,142.431,134.105,128.683,121.876,121.271,118.01,112.243,107.415,108.704,99.727,92.306,91.54,86.113,84.91,82.096,81.612,77.888,68.853,65.786,65.117,72.793,70.747,67.339,65.645,63.171,63.891,66.371,65.354,69.597,66.854,67.257,71.462
   Property  Plant and Equipent,229.789,208.414,189.718,173.391,154.552,138.746,128.706,117.937,109.987,102.011,96.379,90.384,87.546,83.214,79.568,75.347,70.803,65.618,62.035,56.974,52.904,49.669,48.961,46.299,43.856,40.769,39.523,38.164,36.146,34.788,33.053,31.653,30.289,21.962,21.379,19.224,18.356,16.831,15.789,15.046,14.731,14.375,13.607,13.229,13.011,11.771,11.567,10.774,9.991,9.204,8.698,8.329,8.269,8.225,8.01,8.033,8.162,7.969,7.799,7.771,7.63,7.372,7.402,7.512,7.535,7.112,6.996,6.552,6.242,5.516,4.965,4.615,4.35,3.923,3.686,3.193,3.044,2.543,2.452,2.351
      Accuulated Depreciation,-93.653,-87.074,-82.82,-80.517,-76.421,-74.945,-72.949,-69.486,-68.251,-65.998,-63.459,-60.638,-59.66,-58.053,-55.277,-52.469,-51.351,-49.681,-47.715,-45.417,-43.197,-41.512,-39.597,-36.971,-35.33,-35.431,-33.082,-30.953,-29.223,-28.377,-26.849,-25.523,-24.179,-22.992,-21.888,-20.885,-19.8,-18.885,-18.008,-18.009,-17.606,-16.839,-16.192,-15.373,-14.793,-14.441,-13.686,-13.038,-12.513,-12.247,-11.773,-11.401,-10.962,-10.952,-10.546,-10.209,-9.829,-9.564,-9.279,-8.942,-8.629,-8.393,-8.17,-7.853,-7.547,-7.236,-6.959,-6.622,-6.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
   Goodwill,119.509,119.329,119.191,119.374,119.22,119.163,118.931,67.79,67.886,67.94,67.905,67.459,67.524,67.371,50.921,50.455,49.711,49.698,44.219,43.89,43.351,42.064,42.248,42.113,42.026,41.861,41.577,35.855,35.683,35.582,35.355,35.389,35.122,34.668,34.524,17.907,17.872,17.948,17.436,17.142,16.939,21.728,21.855,20.081,20.127,14.751,14.68,14.667,14.655,14.682,14.727,14.466,13.452,19.698,19.67,12.537,12.581,12.554,12.502,12.471,12.394,12.463,12.368,12.582,12.503,12.554,12.49,12.291,12.108,10.346,10.309,10.151,4.76,4.217,4.189,4.153,3.866,3.609,3.553,3.504
   Intangiles,22.604,23.968,25.385,26.751,27.597,28.828,29.896,8.895,9.366,9.879,10.354,10.808,11.298,11.348,7.462,7.794,7.8,8.127,6.555,6.923,7.038,6.855,7.126,7.508,7.75,8.103,8.482,7.579,8.053,8.544,9.034,9.598,10.106,10.547,11.001,3.522,3.733,4.459,4.619,4.745,4.835,6.963,7.299,6.693,6.981,2.901,2.945,2.982,3.083,3.24,3.341,3.423,3.17,2.756,2.581,1.026,744,840,992,1.077,1.158,1.282,1.346,1.653,1.759,1.756,1.815,1.899,1.973,1.639,1.717,1.718,878,699,745,720,539,461,466,502
   Long Ter Investents,15.405,16.035,15.581,15.778,14.6,14.807,13.367,11.423,9.879,9.415,7.097,6.839,6.891,6.907,6.994,6.393,5.984,5.395,3.794,3.103,2.965,2.66,2.755,2.684,2.649,2.403,2.274,2.034,1.862,2.818,3.954,5.32,5.956,7.299,8.911,10.478,10.413,11.294,11.504,11.402,12.053,12.019,12.665,13.943,14.597,14.792,14.607,11.995,10.844,11.193,10.707,10.038,9.776,9.068,7.55,8.576,10.865,10.748,10.022,9.211,7.754,7.797,6.976,6.006,4.933,4.112,3.922,4.381,6.588,8.659,9.413,9.707,10.117,9.624,9.631,8.762,9.232,8.888,9.095,10.062
   Other Long Ter Assets,35.365,33.334,32.043,32.993,31.56,30.751,27.465,27.654,26.101,26.954,24.994,23.482,21.897,21.845,21.256,21.103,15.075,14.427,13.561,13.034,13.138,13.696,14.63,14.455,14.723,10.258,10.129,9.792,7.442,7.106,6.974,6.106,6.143,4.228,3.846,3.484,3.434,2.916,2.938,2.905,3.117,3.2,3.06,3.271,3.422,2.898,2.874,2.48,2.392,2.262,1.636,1.569,1.52,1.403,1.919,1.972,1.434,1.353,1.307,1.429,1.501,1.478,1.517,1.628,1.878,2.595,2.833,2.792,2.64,3.098,3.16,3.601,2.898,2.645,2.94,3.168,3.906,4.725,4.997,5.212
Total Current Liailities,141.218,114.206,108.882,115.2,125.286,118.525,121.016,124.792,104.149,85.691,81.718,87.389,95.082,77.439,77.51,80.528,88.657,72.193,67.486,70.056,72.31,58.707,59.64,58.118,69.42,53.861,50.318,56.277,58.488,46.133,58.099,51.615,55.745,52.005,70.787,58.81,59.357,44.354,42.643,49.399,49.647,40.748,47.415,44.694,45.625,33.903,33.742,34.623,37.417,31.929,31.91,31.402,32.688,26.17,25.373,25.543,28.774,24.042,24.312,25.857,26.147,26.424,25.715,28.761,27.034,23.823,23.71,24.383,29.886,27.028,22.058,22.744,23.754,21.627,22.215,21.972,22.442,18.367,16.747,17.022
   Accounts Payale,27.724,26.25,22.608,22.768,21.996,18.087,17.695,19.307,18.095,15.305,15.354,16.609,19,16.085,15.314,14.832,15.163,13.412,12.77,12.509,12.53,9.246,8.811,8.574,9.382,7.544,7.563,8.511,8.617,7.623,7.85,6.866,7.39,6.217,6.58,6.296,6.898,6.759,6.936,6.63,6.591,6.69,6.932,6.769,7.432,4.583,5.398,4.841,4.828,4.532,4.356,3.631,4.175,3.79,3.884,3.719,4.197,3.829,3.863,3.654,4.025,3.279,3.171,3.287,3.324,3.017,3.533,3.351,4.034,3.6,3.612,3.206,3.247,2.843,2.944,2.406,2.909,2.354,2.477,1.852
   Accrued Expenses,19.133,15.817,13.784,12.335,16.144,13.845,11.6,9.528,13.418,12.738,11.317,9.629,12.889,11.226,9.908,8.943,12.019,9.908,8.704,7.458,9.49,7.811,7.037,6.227,8.345,7.225,6.045,5.643,7.502,6.531,5.77,5.36,5.819,4.604,3.982,3.621,5.264,4.276,3.649,3.45,5.096,3.902,3.479,3.74,4.797,3.887,3.169,2.856,4.117,3.474,2.942,2.666,3.875,3.272,2.677,2.388,3.575,2.917,2.402,2.252,3.283,2.885,2.417,2.224,3.156,2.644,2.239,2.138,2.934,2.427,1.977,1.796,2.325,1.878,1.559,1.401,1.938,1.516,1.249,1.196
   Current Portion of Long Ter Det,6.171,5.888,7.921,4.753,4.598,4.118,3.941,5.325,6.444,7.398,5.102,4.303,3.809,2.737,5.942,4.131,8.863,8.804,6.086,7.093,4.289,4.218,6.711,3.421,5.833,6.797,3.761,6.7,4.174,3.628,3.602,1.196,1.162,685,655,32,NaN,0,750,750,2.499,2.499,1.749,1.748,0,2,2,2,2.999,2.246,2.241,2.236,1.231,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
   Other Current Liaility,88.19,66.251,64.569,75.344,75.855,61.94,60.739,64.824,66.192,50.25,49.945,56.848,59.384,47.391,46.346,52.622,52.612,40.069,39.926,42.996,46.001,37.432,37.081,39.896,45.86,32.295,32.949,35.423,38.195,28.121,28.411,30.023,32.302,33.312,34.505,34.325,34.291,27.821,28.308,28.571,30.476,25.932,26.956,28.937,31.396,23.433,22.875,23.626,25.473,21.677,22.371,22.869,23.407,19.108,18.812,19.436,21.002,17.296,18.047,18.951,17.839,18.011,17.878,21,18.554,16.163,15.938,16.919,22.918,21.001,16.469,17.742,18.182,16.906,17.712,18.165,17.595,14.497,13.021,13.974
Total Liabilities,275.524,240.733,231.203,235.29,243.686,231.123,232.29,225.071,205.753,185.405,181.416,186.218,198.298,181.683,180.379,183.44,191.791,174.374,173.901,177.609,183.007,170.948,172.685,172.894,184.226,168.417,166.731,171.652,176.13,166.258,177.643,159.45,162.601,155.288,155.801,142.152,121.471,107.063,103.318,95.451,94.389,86.551,82.969,79.486,82.6,68.695,68.443,60.707,63.487,57.417,56.107,53.04,54.908,49.351,48.122,48.024,51.621,46.275,43.825,44.598,39.938,39.2,37.813,40.4,38.33,31.91,31.308,31.523,36.507,33.193,32.908,33.51,32.074,28.918,29.737,29.253,29.493,24.816,23.049,23.135
   Total Det,89.323,82.095,81.047,76.468,78.775,88.347,94.416,89.656,64.304,64.673,63.7,63.252,64.683,64.465,67.453,66.836,70.687,70.112,72.041,73.719,72.823,75.22,78.359,77.36,78.752,78.91,78.379,80.904,80.541,81.488,93.162,88.748,88.732,85.794,86.526,75.722,53.461,46.394,44.429,38.567,35.292,31.868,28.308,23.72,22.645,22.679,22.976,15.932,15.6,14.195,14.188,11.95,11.944,11.938,11.932,11.927,11.921,11.915,9.671,10.665,5.939,5.995,5.995,5.996,5.746,1.999,2,1.975,0,0,0,0,0,0,0,0,0,0,0,0
   Long Ter Det,83.152,76.207,73.126,71.715,67.484,63.694,63.434,58.523,57.86,57.275,58.598,58.949,60.874,61.728,61.511,62.705,61.824,61.308,65.955,66.626,68.534,71.002,71.648,73.939,72.919,72.113,74.618,74.204,76.367,77.63,77.094,79.382,78.498,77.922,60.806,61.154,40.557,40.896,40.679,27.819,27.808,27.644,18.26,18.472,20.645,20.679,20.676,12.632,12.601,11.949,11.947,9.714,10.713,11.938,11.932,11.927,11.921,11.915,9.671,9.665,4.939,3.746,3.746,3.746,3.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Short Ter Det,0,0,0,0,6.693,20.535,27.041,25.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,12.466,8.17,9.072,7.187,25.065,14.536,12.904,5.498,3,9.998,4.985,1.725,8.299,3.5,2,0,300,1.3,0,0,0,0,0,0,0,0,0,0,0,1,1,2.249,2.249,2.25,2,1.999,2,1.975,0,0,0,0,0,0,0,0,0,0,0,0
   Non Current Liailities,48.319,47.798,46.682,45.794,48.298,46.435,45.292,41.286,43.311,42.137,40.811,39.657,42.112,42.212,41.159,39.995,41.112,40.7,40.286,40.74,41.959,41.054,41.175,40.603,41.654,40.605,39.733,39.194,40.734,40.078,39.264,22.94,22.624,24.896,23.075,20.624,20.081,19.139,17.802,16.064,15.639,15.24,14.474,13.606,13.602,11.795,11.648,11.216,11.76,11.115,9.856,9.715,9.614,9.787,9.735,9.514,9.47,9.133,9.016,8.536,8.623,8.202,7.975,7.738,7.55,8.087,7.598,7.14,6.621,6.165,10.85,10.766,8.32,7.291,7.522,7.281,7.051,6.449,6.302,6.113
   Other Non-Current Liailities,45.186,38.536,35.906,31.165,27.064,NaN,NaN,18.634,17.981,17.437,16.479,15.311,15.526,15.154,14.747,14.346,13.427,12.941,12.544,11.525,10.632,9.673,9.658,8.826,7.581,6.763,6.055,5.539,5.211,5.223,4.82,18.173,17.184,17.381,15.98,14.34,13.64,14.122,13.7,13.28,13.544,13.274,12.423,11.781,11.594,9.953,9.79,9.587,10,9.721,8.397,8.423,8.208,8.525,NaN,8.201,8.072,8.001,7.662,7.384,7.445,7.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
   Deferred Taxes,2.835,2.522,2.513,2.581,2.618,2.469,2.548,470,433,302,289,223,230,304,199,212,198,173,174,187,204,185,222,234,233,1.838,2.062,1.977,541,2.417,3.186,5.513,5.734,465,1.133,1.564,1.476,2.674,2.194,2.169,1.295,2.919,2.82,2.714,2.728,2.318,2.377,2.236,1.709,2.424,2.394,2.209,1.893,1.456,1.082,1.04,1.456,1.185,826,540,229,828,377,155,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Shareholders Equity,343.479,321.891,302.695,287.723,268.477,253.152,238.268,220.714,206.223,194.683,183.136,173.566,166.542,162.924,160.01,151.978,141.988,134.505,130.236,123.392,118.304,114.501,110.109,106.061,102.33,94.864,92.128,85.967,82.718,79.239,78.36,89.647,87.711,69.729,68.809,70.372,71.997,74.806,76.78,77.445,80.083,90.132,91.879,90.17,89.784,87.424,85.1,81.641,78.944,76.688,72.576,68.836,66.363,68.659,64.121,59.391,57.083,53.452,48.481,46.942,46.175,45.71,44.283,41.212,39.558,36.943,34.478,33.594,36.286,37.554,34.431,32.135,31.097,34.973,36.634,36.101,40.104,42.038,44.208,48.327
   Coon Stock Net,46.462,46.462,46.469,46.475,46.462,46.456,46.45,46.444,46.45,46.481,46.544,46.606,46.65,46.769,46.875,46.938,46.994,47.088,47.162,47.275,47.319,47.438,47.569,47.712,49.68,47.912,48.019,48,47.981,48.062,48.156,48.25,48.175,48.269,48.312,48.65,48.8,49.188,49.531,49.912,50.169,50.706,51.362,51.594,51.494,51.625,51.875,52.162,52.05,52.181,66.334,66.084,65.797,65.273,63.902,63.492,63.415,63.234,61.646,61.935,62.856,62.517,62.566,62.293,62.382,61.896,61.392,61.655,62.849,63.375,62.528,60.699,60.557,60.827,61.152,57.657,59.005,59.85,60.14,60.862
   Retained Earnings,237.731,219.759,203.482,188.929,173.144,159.394,145.737,132.143,118.848,108.234,99.368,92.374,84.281,79.633,75.045,66.944,57.055,50.735,44.973,39.193,34.566,32.012,30.739,27.24,24.15,18.338,16.585,17.279,13.682,9.974,8.567,19.702,17.769,531,120,944,2.282,4.954,6.728,7.614,9.096,18.186,19.731,18.051,17.71,16.289,14.347,11.68,9.895,7.657,4.236,932,-856,2.054,-607,-4.852,-8.195,-11.592,-14.862,-16.512,-17.736,-18.26,-19.605,-22.415,-23.793,-25.679,-27.499,-28.938,-27.703,-27.176,-29.725,-30.094,-31.114,-27.389,-26.1,-22.92,-20.13,-18.909,-17.142,-13.82
   Unrealized Gain on Securities,-1.051,-1.495,-1.945,-1.511,-2.625,-2.713,-2.511,-3.842,-3.582,-2.934,-3.687,-4.035,-2.138,-825,2.057,2.8,3.222,3.09,4.795,5.287,5.478,5.153,1.645,2.065,1.488,417,-297,-1.178,-892,-357,659,1.537,1.825,2.095,2.03,3.024,2.941,3.103,2.758,2.598,3.169,3.236,3.111,3.342,3.531,3.296,3.228,2.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
   Other Equity,-2.296,-3.338,-3.671,-2.671,-2.965,-2.722,-2.438,-3.095,-2.761,-2.71,-2.77,-3.308,-2.54,-1.651,-1.62,-1.517,-1.4,-1.628,-1.428,-2.177,-2.292,-2.477,-1.9,-2.126,-1.828,-1.682,-1.716,-1.437,-1.295,-796,-1.058,-1.011,-1.198,-1.451,-1.518,-1.343,-1.404,-1.263,-985,-860,-647,235,272,415,177,36,49,-15,1.743,2.205,2.006,1.82,1.422,1.332,826,751,1.863,1.81,1.697,1.519,1.055,1.453,1.322,1.334,969,726,585,877,1.14,1.355,1.628,1.53,1.654,1.535,1.582,1.364,1.229,1.097,1.21,1.285
Total Liailities and Shareholders Equity,619.003,562.624,533.898,523.013,512.163,484.275,470.558,445.785,411.976,380.088,364.552,359.784,364.84,344.607,340.389,335.418,333.779,308.879,304.137,301.001,301.311,285.449,282.794,278.955,286.556,263.281,258.859,257.619,258.848,245.497,256.003,249.097,250.312,225.017,224.61,212.524,193.468,181.869,180.098,172.896,174.472,176.683,174.848,169.656,172.384,156.119,153.543,142.348,142.431,134.105,128.683,121.876,121.271,118.01,112.243,107.415,108.704,99.727,92.306,91.54,86.113,84.91,82.096,81.612,77.888,68.853,65.786,65.117,72.793,70.747,67.339,65.645,63.171,63.891,66.371,65.354,69.597,66.854,67.257,71.462
